preciso desenvolver uma modelagem para um problema de dimensionamento de lotes, primeiro devemos dimensionar um planejamento agregado. Atualmente, tenho os seguintes dados:

produtos (kg):

faturamento (vendas):

PRODUTO	jan/24	fev/24	mar/24	abr/24	mai/24	jun/24	jul/24	ago/24	set/24	out/24	nov/24	dez/24	jan/25	fev/25	mar/25	abr/25
RED. 10	6913,30	8631,31	10967,83	9652,50	10446,42	9723,49	9184,26	13723,20	11927,21	10908,57	10190,10	7638,68	7958,66	9276,85	8245,37	8359,47
PLATINO RED. 10	3010,41	2308,00	3282,61	2915,68	3239,77	3248,62	2346,99	3823,77	3700,63	3840,02	3094,00	2740,13	3783,26	3042,18	2055,38	3119,35
PLATINO RED. 05	2032,84	1964,99	2845,23	2692,22	2971,89	3370,31	2525,91	2849,33	3343,65	3747,81	3485,90	2071,34	3018,91	2999,55	2608,32	2868,37
RED. 05	5372,56	5900,33	8248,16	10092,33	9944,30	10501,85	8877,86	8781,64	11228,39	11845,80	10024,04	8098,14	9844,09	8960,04	9541,16	9263,53
RED. 07	7989,58	9224,92	12720,23	13182,14	16322,67	17217,41	16519,88	13206,51	20328,28	22571,72	22171,91	16737,10	14525,51	13778,70	17570,35	15429,76
FESTA 7.0	23580,77	16267,17	20575,21	15637,28	17104,80	16400,67	15144,16	22097,28	24542,55	24211,09	21624,62	15820,56	14913,23	24591,49	16991,22	17505,76
RED. 08	13838,87	10824,46	18597,49	19509,35	22926,55	20338,54	17023,74	20428,85	23667,71	24043,87	20472,41	21552,94	19657,00	16292,37	12708,38	17799,90
RED. 09	6718,02	9782,95	11751,02	6828,21	6911,77	7805,93	6582,73	10333,80	11744,31	12563,70	10690,60	6356,12	7366,31	8359,47	5742,76	7912,58
PLATINO RED. 09	4900,90	4996,82	5687,92	5637,58	6689,76	7271,60	6473,15	5246,98	8520,96	9082,53	8728,83	6314,45	7546,11	8604,96	7248,86	7755,36
GF 09	53299,97	65044,91	78081,54	79276,04	86078,08	96775,43	86142,28	79550,44	109238,00	115810,26	107778,33	84439,80	86766,22	89627,55	88353,63	97347,45
CORACAO 06	319,71	672,37	945,50	1363,68	1204,93	853,27	372,71	581,96	508,89	294,26	249,49	284,50	303,72	602,25	854,51	1610,46
FAT BALL 250	558,20	752,02	1299,94	1436,32	1549,92	1715,24	1691,46	822,26	1456,38	2492,86	1404,54	1418,56	1378,70	1558,82	1594,90	1611,36
GF 6.5	15182,62	15025,60	13887,76	15478,97	15877,99	22526,41	13812,88	31252,35	32592,63	31197,37	18488,84	13934,32	11915,78	16037,09	11817,38	18603,96
MAXI BALL 350	478,08	948,47	1291,73	964,39	1904,95	1760,79	789,77	973,59	880,76	1286,25	1188,23	596,53	1033,99	1201,24	1064,62	1240,21
PIC 260	2516,59	2752,25	3430,36	2698,19	3092,54	4282,60	3559,35	3741,77	5793,02	5662,12	5450,99	3547,78	3439,54	3846,41	3691,96	3436,40
TOP 6.5	20295,28	8209,19	16310,74	17384,87	14559,34	14507,52	10019,85	13890,21	13442,92	14878,11	21547,24	13678,90	12592,81	15016,88	12306,92	17168,01
RED. 16	8915,45	10409,95	13214,61	14096,61	15938,13	17859,13	15023,89	13610,24	18844,13	18382,15	15290,35	13712,26	19257,29	19034,34	19167,33	18590,01

produzido:

PRODUTO	jan/24	fev/24	mar/24	abr/24	mai/24	jun/24	jul/24	ago/24	set/24	out/24	nov/24	dez/24	jan/25	fev/25	mar/25	abr/25
RED. 10	9559,50	11891,97	12689,35	9892,90	8663,25	6403,65	14778,05	8856,65	9745,45	7474,30	12968,75	11228,41	4815,35	10266,73	6942,01	8724,10
PLATINO RED. 10	3632,81	5962,62	3193,35	6036,50	1225,10	745,90	1522,20	1909,60	4178,55	1472,63	3121,20	3743,25	3234,95	4561,48	2479,05	2496,30
PLATINO RED. 05	2147,85	4039,46	2321,35	3133,40	2305,90	2408,35	4465,35	2818,20	1935,80	2480,30	3222,50	2416,20	3139,70	2814,45	4511,65	2577,69
RED. 05	4347,95	7869,94	10001,20	9313,80	10240,25	9274,80	13513,65	12387,35	4798,05	9851,50	9795,85	9023,05	8664,34	7418,30	12405,80	12390,63
RED. 07	12253,30	7317,80	10306,35	19463,76	19129,25	12507,90	11116,05	20300,30	22699,25	24931,10	24435,95	21439,16	14529,82	10358,85	20661,21	20904,19
FESTA 7.0	26917,80	16135,10	15444,35	17479,92	17012,25	13261,80	16096,50	17185,00	26471,35	20007,70	20253,90	17647,85	21855,80	26535,30	15786,22	19585,05
